Province/states,country,WHO region,WHO region label,date,value
,India,South-East Asia Region,,6/16/20,343091
,India,South-East Asia Region,,6/17/20,354065
,India,South-East Asia Region,,6/18/20,366946
,India,South-East Asia Region,,6/19/20,380532
,India,South-East Asia Region,,6/20/20,
,India,South-East Asia Region,,6/21/20,
,India,South-East Asia Region,,6/22/20,
,India,South-East Asia Region,,6/23/20,
,India,South-East Asia Region,,6/24/20,
,India,South-East Asia Region,,6/25/20,
,India,South-East Asia Region,,6/26/20,
,India,South-East Asia Region,,6/27/20,
,India,South-East Asia Region,,6/28/20,
,India,South-East Asia Region,,6/29/20,
,India,South-East Asia Region,,6/30/20,
,India,South-East Asia Region,,7/1/20,
,India,South-East Asia Region,,7/2/20,
,India,South-East Asia Region,,7/3/20,
,India,South-East Asia Region,,7/4/20,
,India,South-East Asia Region,,7/5/20,
,India,South-East Asia Region,,7/6/20,
,India,South-East Asia Region,,7/7/20,
,India,South-East Asia Region,,7/8/20,
,India,South-East Asia Region,,7/9/20,
,India,South-East Asia Region,,7/10/20,
,India,South-East Asia Region,,7/11/20,
,India,South-East Asia Region,,7/12/20,
,India,South-East Asia Region,,7/13/20,
,India,South-East Asia Region,,7/14/20,
,India,South-East Asia Region,,7/15/20,
,India,South-East Asia Region,,7/16/20,
,India,South-East Asia Region,,7/17/20,
,India,South-East Asia Region,,7/18/20,
,India,South-East Asia Region,,7/19/20,
,India,South-East Asia Region,,7/20/20,
,India,South-East Asia Region,,7/21/20,
,India,South-East Asia Region,,7/22/20,
,India,South-East Asia Region,,7/23/20,
,India,South-East Asia Region,,7/24/20,
,India,South-East Asia Region,,7/25/20,
,India,South-East Asia Region,,7/26/20,
,India,South-East Asia Region,,7/27/20,
,India,South-East Asia Region,,7/28/20,
,India,South-East Asia Region,,7/29/20,
,India,South-East Asia Region,,7/30/20,
,India,South-East Asia Region,,7/31/20,
,India,South-East Asia Region,,8/1/20,
,India,South-East Asia Region,,8/2/20,
,India,South-East Asia Region,,8/3/20,
,India,South-East Asia Region,,8/4/20,
,India,South-East Asia Region,,8/5/20,
,India,South-East Asia Region,,8/6/20,
,India,South-East Asia Region,,8/7/20,
,India,South-East Asia Region,,8/8/20,
,India,South-East Asia Region,,8/9/20,
,India,South-East Asia Region,,8/10/20,
,India,South-East Asia Region,,8/11/20,
,India,South-East Asia Region,,8/12/20,
,India,South-East Asia Region,,8/13/20,
,India,South-East Asia Region,,8/14/20,
,India,South-East Asia Region,,8/15/20,
,India,South-East Asia Region,,8/16/20,
