Province/states,country,WHO region,WHO region label,date,value
,Haiti,Region of the Americas,,6/6/20,2640
,Haiti,Region of the Americas,,6/7/20,2924
,Haiti,Region of the Americas,,6/8/20,3072
,Haiti,Region of the Americas,,6/9/20,3334
,Haiti,Region of the Americas,,6/10/20,3583
,Haiti,Region of the Americas,,6/11/20,3662
,Haiti,Region of the Americas,,6/12/20,3796
,Haiti,Region of the Americas,,6/13/20,3941
,Haiti,Region of the Americas,,6/14/20,3941
,Haiti,Region of the Americas,,6/15/20,4165
,Haiti,Region of the Americas,,6/16/20,4309
,Haiti,Region of the Americas,,6/17/20,4441
,Haiti,Region of the Americas,,6/18/20,4547
,Haiti,Region of the Americas,,6/19/20,4688
,Haiti,Region of the Americas,,6/20/20,
,Haiti,Region of the Americas,,6/21/20,
,Haiti,Region of the Americas,,6/22/20,
,Haiti,Region of the Americas,,6/23/20,
,Haiti,Region of the Americas,,6/24/20,
,Haiti,Region of the Americas,,6/25/20,
,Haiti,Region of the Americas,,6/26/20,
,Haiti,Region of the Americas,,6/27/20,
,Haiti,Region of the Americas,,6/28/20,
,Haiti,Region of the Americas,,6/29/20,
,Haiti,Region of the Americas,,6/30/20,
,Haiti,Region of the Americas,,7/1/20,
,Haiti,Region of the Americas,,7/2/20,
,Haiti,Region of the Americas,,7/3/20,
,Haiti,Region of the Americas,,7/4/20,
,Haiti,Region of the Americas,,7/5/20,
,Haiti,Region of the Americas,,7/6/20,
,Haiti,Region of the Americas,,7/7/20,
,Haiti,Region of the Americas,,7/8/20,
,Haiti,Region of the Americas,,7/9/20,
,Haiti,Region of the Americas,,7/10/20,
,Haiti,Region of the Americas,,7/11/20,
,Haiti,Region of the Americas,,7/12/20,
,Haiti,Region of the Americas,,7/13/20,
,Haiti,Region of the Americas,,7/14/20,
,Haiti,Region of the Americas,,7/15/20,
,Haiti,Region of the Americas,,7/16/20,
,Haiti,Region of the Americas,,7/17/20,
,Haiti,Region of the Americas,,7/18/20,
,Haiti,Region of the Americas,,7/19/20,
,Haiti,Region of the Americas,,7/20/20,
,Haiti,Region of the Americas,,7/21/20,
,Haiti,Region of the Americas,,7/22/20,
,Haiti,Region of the Americas,,7/23/20,
,Haiti,Region of the Americas,,7/24/20,
,Haiti,Region of the Americas,,7/25/20,
,Haiti,Region of the Americas,,7/26/20,
,Haiti,Region of the Americas,,7/27/20,
,Haiti,Region of the Americas,,7/28/20,
,Haiti,Region of the Americas,,7/29/20,
,Haiti,Region of the Americas,,7/30/20,
,Haiti,Region of the Americas,,7/31/20,
,Haiti,Region of the Americas,,8/1/20,
,Haiti,Region of the Americas,,8/2/20,
,Haiti,Region of the Americas,,8/3/20,
,Haiti,Region of the Americas,,8/4/20,
,Haiti,Region of the Americas,,8/5/20,
,Haiti,Region of the Americas,,8/6/20,
,Haiti,Region of the Americas,,8/7/20,
,Haiti,Region of the Americas,,8/8/20,
,Haiti,Region of the Americas,,8/9/20,
,Haiti,Region of the Americas,,8/10/20,
,Haiti,Region of the Americas,,8/11/20,
,Haiti,Region of the Americas,,8/12/20,
,Haiti,Region of the Americas,,8/13/20,
,Haiti,Region of the Americas,,8/14/20,
,Haiti,Region of the Americas,,8/15/20,
,Haiti,Region of the Americas,,8/16/20,
